id,桶(bucket),问题(query),期望章节(expect_section),标准要点(expect_points),应拒答(should_refuse)
A24,A_policy,"积分是怎么累计的,退货了积分会扣回去吗",积分怎么攒,1 元累计 1 积分 | 同步扣回,否
A25,A_policy,活动期间拿到的双倍积分算不算等级升级,积分怎么攒,双倍积分不计入等级升级,否
A26,A_policy,"100 积分能抵多少现金,一笔订单最多抵多少",积分怎么用,抵 1 元 | 单笔最多抵 30 元,否
A27,A_policy,"2000 积分能兑换什么,要不要自己付运费",积分怎么用,自动饮水机滤芯 3 片 | 包邮,否
A28,A_policy,800 积分换的零食小样是包邮的吗,积分怎么用,猫零食小样 | 6 元运费,否
A29,A_policy,"能开电子专用发票吗,需要先准备什么资料",可开票类型,电子专票 | 纳税人识别号,否
A30,A_policy,"纸质专票哪种账户能申请,快递费谁付",可开票类型,仅企业账户 | 快递费到付,否
A31,A_policy,订单完成后多少天之内可以申请开票,开票时效,30 天内可申请开票,否
A32,A_policy,超过开票期限的订单还能补开发票吗,开票时效,超过 30 天需联系客服,否
A33,A_policy,金卡会员在售后上有什么专属待遇,会员专属售后权益,优先客服接入 | 上门取件,否
A34,A_policy,银卡会员每月有几次退换货运费权益,会员专属售后权益 | 会员运费权益,1 次/月,否
A35,A_policy,"金卡每月免运费几次,当月没用完能不能留到下个月",会员运费权益,每月享 3 次免运费 | 不结转,否
A36,A_policy,免运费权益能不能抵掉偏远地区的附加运费,会员运费权益,不与偏远地区附加运费冲抵,否
A37,A_policy,"设备要寄修的话流程是什么,超保会不会收费",维修寄修流程,指定维修点 | 工本费,否
A38,A_policy,"缺货的商品一般多久补货,有没有到货提醒",商品缺货,3 至 7 天内补货 | 到货通知,否
A39,A_policy,哪些商品在非质量问题的情况下不支持退货,不支持退货的商品,已拆封的猫砂 | 不支持无理由退货,否
A40,A_policy,换货能不能换成别的型号或者别的颜色,换货条件,不同型号或颜色需先退货,否
A41,A_policy,同一笔订单最多能申请几次同款换货,换货条件,一次同款换货,否
A42,A_policy,保修期内非人为损坏可以要求换货还是只能修,质量问题与保修,免费维修或换货,否
A43,A_policy,"少发漏发导致的退换货,运费由谁承担",退换货运费承担,少发漏发 | 平台承担,否
A44,A_policy,"预售定金支持无理由退吗,尾款没按时付怎么办",预售与定金,不支持无理由退定金 | 按活动规则处理,否
A45,A_policy,预售商品的发货时间怎么确定,预售与定金 | 发货时效,详情页,否
A46,A_policy,"布艺猫窝能机洗吗,要注意什么",猫窝是否可以机洗,拆掉内部垫芯 | 轻柔模式冷水洗,否
A47,A_policy,带加热模块的猫窝可以放洗衣机吗,猫窝是否可以机洗,不可机洗 | 局部擦洗,否
A48,A_policy,缺货补发的处理时限是几个工作日,处理时限,缺货补发 | 5 个工作日,否
A49,A_policy,投诉类问题多久会有首次响应,处理时限,投诉 | 1 小时,否
A50,A_policy,价格保护申请的处理时限是多久,处理时限,价格保护 | 3 个工作日,否
A51,A_policy,"喂食器卡粮怎么自查,粮食颗粒多大合适",常见故障,12mm | 清理出粮口,否
A52,A_policy,摄像头频繁离线该怎么排查,常见故障,2.4G 频段 | 重新配网,否
A53,A_policy,非联网的商品比如猫爬架需要自己组装吗,设备安装 | MH-CT30,自行组装,否
A54,A_policy,无理由退货寄回去的运费是谁承担,退换货运费承担,无理由退货的退回运费由买家承担,否
A55,A_policy,"因为质量问题换货,来回运费谁出",换货运费,因质量问题或发错货的换货,否
A56,A_policy,订单已经发货了还能改收货地址吗,订单可以修改或取消,已发货订单无法修改收货信息,否
A57,A_policy,"想多买一件,能直接改订单里的商品数量吗",订单可以修改或取消,取消后重新下单,否
A58,A_policy,保修期是从下单那天算还是签收那天算,保修说明 | 质量问题与保修,自签收,否
A59,A_policy,七天无理由的七天从哪一天开始算,适用范围,自签收之日起 7 天内,否
A60,A_policy,自己摔坏的还能免费保修吗,保修说明,人为损坏不在保修范围,否
B1,B_model,MH-LP100 的废砂盒多久倒一次,MH-LP100,5 至 7 天 | 7 天(单猫),否
B2,B_model,智能猫砂盆 Pro MH-LP100 有没有 App 远程监控,MH-LP100,App 远程监控,否
B3,B_model,MH-LP50 和 Pro 版有什么区别,MH-LP50,无 App | 价格更低,否
B4,B_model,"MH-LP200 适合多大的猫,几天倒一次废砂盒",MH-LP200,2kg 至 12kg | 每 3 至 5 天,否
B5,B_model,自动饮水机 MH-W20 的滤芯多久换一次,MH-W20,每 2 周,否
B6,B_model,"MH-W40 的滤芯多久换一次,有没有杀菌功能",MH-W40,每 3 周 | UV,否
B7,B_model,"MH-W60 水箱有多大,多久换一次滤芯",MH-W60,6L | 每 4 周,否
B8,B_model,MH-W20 水箱容量是多大,MH-W20,2L,否
B9,B_model,猫爬架 MH-CT30 单层能承重多少,MH-CT30,单层最大 10kg,否
B10,B_model,恒温加热垫 MH-HP12 可以一直通电开着吗,MH-HP12,不超过 12 小时,否
B11,B_model,MH-HP12 加热垫的尺寸是多少,MH-HP12,40cm × 30cm,否
B12,B_model,"MH-HP20 加热垫有几档温度,分别是多少度",MH-HP20,三档 | 30℃ / 38℃ / 45℃,否
B13,B_model,MH-FD10 喂食器有没有摄像头,MH-FD10,不含摄像头,否
B14,B_model,"MH-FD30 喂食器能远程投喂吗,粮桶多大",MH-FD30,1080P 摄像头 | 6L | App 远程,否
B15,B_model,全景看护摄像头 MH-CAM1 是多少分辨率,MH-CAM1,2K,否
B16,B_model,智能猫砂盆 Lite MH-LP50 能不能联网用 App,MH-LP50,不含 App,否
B17,B_model,MH-W40 的水箱容量是多大,MH-W40,4L,否
B18,B_model,"自动饮水机 Pro 不锈钢 MH-W60 是什么材质,几个水泵",MH-W60,304 不锈钢 | 双泵,否
B19,B_model,"MH-FD10 粮桶容量多大,一天最多喂几餐",MH-FD10,4L | 6 餐,否
B20,B_model,MH-LP200 的猫砂容量是多大,MH-LP200,12L,否
B21,B_model,MH-LP100 适用的猫咪体重范围是多少,MH-LP100,1.5kg 至 8kg,否
B22,B_model,MH-LP100 的猫砂容量是多少升,MH-LP100,9L,否
B23,B_model,MH-LP100 断电以后设置会不会丢,MH-LP100,断电后配置自动保存,否
B24,B_model,MH-LP50 适用体重和猫砂容量分别是多少,MH-LP50,1.5kg 至 6kg | 6L,否
B25,B_model,MH-LP50 是靠什么方式除臭的,MH-LP50,物理除臭盖板,否
B26,B_model,MH-LP50 更适合单猫还是多猫家庭,MH-LP50,适合单猫家庭,否
B27,B_model,MH-LP200 有没有防夹保护,MH-LP200,双重称重防夹,否
B28,B_model,"MH-LP200 用的是什么除臭方式,有没有 App 档案",MH-LP200,活性炭除臭 | 多猫健康档案,否
B29,B_model,MH-LP200 是怎么供电的,MH-LP200,220V 市电,否
B30,B_model,MH-W20 是几重过滤,MH-W20,三重过滤棉,否
B31,B_model,MH-W20 的水泵能拆下来清洗吗,MH-W20,水泵可拆卸,否
B32,B_model,MH-W40 用的是什么滤材,MH-W40,五重过滤棉 | 椰壳活性炭,否
B33,B_model,MH-W40 的水泵是静音的吗,MH-W40,静音变频水泵,否
B34,B_model,MH-W60 的滤芯是怎么排布的,MH-W60,双滤芯并联,否
B35,B_model,MH-W60 缺水会推送到手机上吗,MH-W60,无线水位提醒推送 App,否
B36,B_model,MH-W60 的不锈钢面盘能高温消毒吗,MH-W60,可高温消毒,否
B37,B_model,MH-HP12 是恒温多少度,MH-HP12,恒温 38℃,否
B38,B_model,MH-HP12 适合什么样的猫用,MH-HP12,幼猫、老年猫,否
B39,B_model,MH-HP20 加热垫的尺寸是多少,MH-HP20,60cm × 45cm,否
B40,B_model,MH-HP20 有没有定时关机功能,MH-HP20,定时关机,否
B41,B_model,MH-HP20 的表面能拆下来洗吗,MH-HP20,表面绒布可拆洗,否
B42,B_model,MH-FD10 停电了还能继续投喂吗,MH-FD10,4 节 5 号电池,否
B43,B_model,MH-FD10 能语音呼唤猫来吃饭吗,MH-FD10,语音呼唤进食,否
B44,B_model,MH-FD30 的粮桶容量是多少,MH-FD30,6L,否
B45,B_model,MH-FD30 能不能回看录下来的视频,MH-FD30,支持视频回看,否
B46,B_model,MH-FD30 断电之后靠什么撑着,MH-FD30,内置应急电池,否
B47,B_model,MH-CAM1 能旋转多少度,MH-CAM1,355° 水平旋转 | 90° 俯仰,否
B48,B_model,MH-CAM1 最大支持多大的存储卡,MH-CAM1,128G TF 卡,否
B49,B_model,MH-CAM1 带不带逗猫功能,MH-CAM1,逗猫激光,否
B50,B_model,MH-CAM1 是怎么供电的,MH-CAM1,Type-C 供电,否
B51,B_model,"MH-CT30 有多高,一共几层",MH-CT30,1.6m | 四层带顶层吊床,否
B52,B_model,MH-CT30 的柱身是什么材质,MH-CT30,剑麻柱身,否
B53,B_model,MH-CT30 组装的时候会附带工具吗,MH-CT30,六角扳手,否
B54,B_model,MH-W20 和 MH-W60 换滤芯的周期一样吗,MH-W20 | MH-W60,每 2 周更换一次滤芯 | 每 4 周更换一次滤芯,否
B55,B_model,猫砂盆 Max 和 Pro 的猫砂容量差多少,MH-LP200 | MH-LP100,12L | 9L,否
B56,B_model,"两款自动喂食器的区别在哪,哪个带摄像头",MH-FD30 | MH-FD10,1080P 摄像头 | 基础版不含摄像头,否
B57,B_model,两款加热垫的温控方式有什么不一样,MH-HP12 | MH-HP20,恒温 38℃ | 三档可调,否
B58,B_model,MH-CAM1 有没有夜视和双向语音,MH-CAM1,夜视 | 双向语音,否
B59,B_model,MH-W40 整机能拆开水洗吗,MH-W40,整机可拆分水洗,否
B60,B_model,多猫家庭用 MH-LP200 建议几天倒一次废砂盒,MH-LP200,每 3 至 5 天倾倒,否
C1,C_colloquial,东西不想要了还能退不,退货政策,7 天无理由,否
C2,C_colloquial,钱退给我要等到什么时候啊,退款时效,原路退回,否
C3,C_colloquial,我想换个新的咋整,换货流程,7 天内,否
C4,C_colloquial,今儿下单能不能马上给我发货,发货时效,48 小时内,否
C5,C_colloquial,那个邮费到底要给多少钱啊,运费怎么算,满 99 元包邮,否
C6,C_colloquial,"能不能给我开张票,得等几天",发票,3 个工作日,否
C7,C_colloquial,定做的东西不满意能退吗,适用范围,定制类,否
C8,C_colloquial,买了大半年的东西坏了还能保修不,保修说明,12 个月,否
C9,C_colloquial,你们处理个问题到底要磨叽几天啊,处理时限,工作日,否
C10,C_colloquial,那种快过期的海鲜能无理由退货吗,适用范围 | 不支持退货,生鲜,否
C11,C_colloquial,"我用啥付钱都行吗,微信支付宝能刷不",支付方式,支付宝 | 微信,否
C12,C_colloquial,我攒的那些分能当钱花不,会员等级,100 积分抵 1 元,否
C13,C_colloquial,我这一单能不能塞张券,优惠券,结算页,否
C14,C_colloquial,"我在新疆你们能给送不,要不要多掏钱",配送范围,偏远地区运费另计,否
C15,C_colloquial,下错单了还没发货能取消不,订单可以修改或取消,未发货,否
C16,C_colloquial,喝水那机器不出水了咋办,常见故障,水泵,否
C17,C_colloquial,猫砂盆老是报错咋弄啊,常见故障,滚筒 | 重启,否
C18,C_colloquial,"想找个真人问问,啥时候有人在",人工客服,9:00 至 22:00,否
C19,C_colloquial,东西在路上磕坏了我该找谁,运输破损,48 小时内,否
C20,C_colloquial,我买完就降价了能把差的钱退我不,价格保护,差价,否
C21,C_colloquial,我攒的分退货了是不是要被扣回去,积分怎么攒,同步扣回,否
C22,C_colloquial,听说一百分能抵一块钱是真的吗,积分怎么用 | 会员等级,抵 1 元,否
C23,C_colloquial,我在西藏是不是得多掏邮费,运费与包邮 | 配送范围,偏远地区,否
C24,C_colloquial,"开票还得等几天啊,我这边挺急",开票时效 | 发票,3 个工作日,否
C25,C_colloquial,能给我开公司能抵扣的那种票不,可开票类型,电子专票,否
C26,C_colloquial,办金卡到底有啥好处啊,会员专属售后权益 | 会员等级,优先客服接入,否
C27,C_colloquial,这个月免邮的次数没用完下个月还能用不,会员运费权益,不结转,否
C28,C_colloquial,机器坏了我往哪儿寄修啊,维修寄修流程,指定维修点,否
C29,C_colloquial,"现在没货了,到货能不能吱我一声",商品缺货,到货通知,否
C30,C_colloquial,拆封过的猫砂还能不能退,不支持退货的商品,已拆封的猫砂,否
C31,C_colloquial,我想换个别的颜色行不行啊,换货条件,不同型号或颜色,否
C32,C_colloquial,定金交了不想要了能给我退吗,预售与定金,不支持无理由退定金,否
C33,C_colloquial,"猫窝脏得不行,能直接扔洗衣机吗",猫窝是否可以机洗,洗衣袋,否
C34,C_colloquial,"你们发错货了,我寄回去的邮费谁出",退换货运费承担 | 换货运费,发错货,否
C35,C_colloquial,喂食那玩意儿老堵着不下粮咋办,常见故障,清理出粮口,否
C36,C_colloquial,"监控老掉线,是不是我家网的问题",常见故障,2.4G 频段,否
C37,C_colloquial,喝水那机器多久得洗一回,MH-W20 | MH-W40 | MH-W60,建议每周清洗一次,否
C38,C_colloquial,那个两升水箱的饮水机滤芯多久换,MH-W20,每 2 周,否
C39,C_colloquial,给大猫用的那款猫砂盆能装多少砂,MH-LP200,12L,否
C40,C_colloquial,带摄像头那款喂食器能在外面手动喂吗,MH-FD30,App 远程手动投喂,否
C41,C_colloquial,"加热垫会不会烧起来,有没有保护",MH-HP12 | MH-HP20,过热保护,否
C42,C_colloquial,"那个猫架子结实不,一层能压多少斤",MH-CT30,单层最大 10kg,否
C43,C_colloquial,"摄像头能插卡不,多大的能认",MH-CAM1,128G TF 卡,否
C44,C_colloquial,最小那款猫砂盆能装多少猫砂,MH-LP50,6L,否
C45,C_colloquial,五重过滤那款饮水机多久换一次滤芯,MH-W40,每 3 周,否
C46,C_colloquial,三档温度那个加热垫多大尺寸,MH-HP20,60cm × 45cm,否
C47,C_colloquial,能喊猫吃饭但是没摄像头那款粮桶多大,MH-FD10,4L,否
C48,C_colloquial,四层带吊床那个爬架一层能承重多少,MH-CT30,单层最大 10kg,否
C49,C_colloquial,能转一圈的那个监控是多少画质,MH-CAM1,2K,否
C50,C_colloquial,退回去的邮费是我出还是你们出,退换货运费承担,买家承担,否
C51,C_colloquial,会员等级是看总共花了多少还是看一年花多少,会员等级,累计消费,否
C52,C_colloquial,买够多少才不要邮费来着,运费怎么算 | 运费与包邮,满 99 元包邮,否
C53,C_colloquial,带紫外杀菌那款饮水机水箱多大,MH-W40,4L,否
C54,C_colloquial,双泵那款饮水机多久换一次滤芯,MH-W60,每 4 周,否
C55,C_colloquial,恒温不分档那款加热垫能一直插着吗,MH-HP12,不超过 12 小时,否
C56,C_colloquial,猫砂盆装满了会不会提醒我,MH-LP100,App 推送提醒,否
C57,C_colloquial,自动喂食一天最多能设几顿,MH-FD10,6 餐,否
C58,C_colloquial,不锈钢那款饮水机水箱多大,MH-W60,6L,否
C59,C_colloquial,能远程看猫吃饭那款喂食器桶多大,MH-FD30,6L,否
C60,C_colloquial,最大那款猫砂盆能用多重的猫,MH-LP200,2kg 至 12kg,否
E1,E_multi,"我在新疆下单 80 块钱,运费怎么算,会员的免运费能不能抵",运费怎么算 + 配送范围 + 会员运费权益,满 99 元包邮 | 偏远地区运费另计 | 不与偏远地区附加运费冲抵,否
E2,E_multi,"东西不想要了要退货,寄回去的运费谁承担,钱多久回来",退货政策 | 适用范围 + 退换货运费承担 + 退款时效,7 天无理由 | 无理由退货的退回运费由买家承担 | 原路退回,否
E3,E_multi,"已经拆封的猫砂还能退吗,不能退的话我该找谁",不支持退货 + 人工客服,已拆封的猫砂 | 联系客服,否
E4,E_multi,"换货怎么走流程,有几天时限,来回运费谁付",换货流程 + 换货条件 + 换货政策 / 换货运费,7 天内 | 一次同款换货 | 往返运费由买家承担,否
E5,E_multi,"MH-W40 饮水机坏了,保修多长时间,怎么寄修",MH-W40 + 保修说明 | 质量问题与保修 + 维修寄修,MH-W40 | 12 个月 | 指定维修点,否
E6,E_multi,"猫砂盆一直报错我自己能修吗,修不好走维修要等几天",常见故障 + 处理时限,滚筒 | 维修 | 7 个工作日,否
E7,E_multi,"新买的喂食器怎么激活,老是卡粮怎么办",设备安装 + 常见故障,2.4G Wi-Fi | 清理出粮口,否
E8,E_multi,"开票要等几天,你们能开哪些类型的票",开票时效 | 发票如何开具 + 可开票类型,3 个工作日 | 电子专票,否
E9,E_multi,"银卡会员有什么好处,运费和售后分别有什么权益",会员权益 / 会员等级 | 会员等级与积分规则 + 会员运费权益 + 会员专属售后权益,95 折 | 银卡会员享 1 次 | 退换货运费权益 1 次/月,否
E10,E_multi,"积分怎么攒,攒到了又能换点什么",积分怎么攒 + 积分怎么用,1 元累计 1 积分 | 抵 1 元现金,否
E11,E_multi,"下单之后想取消,已经发货了还能不能退",订单可以修改或取消 + 退货政策 | 适用范围,自助取消 | 拒收 | 7 天无理由,否
E12,E_multi,"东西签收发现压坏了,怎么处理,运费谁出",运输破损 + 退换货运费承担,48 小时内 | 开箱视频 | 平台承担,否
E13,E_multi,"预售的东西什么时候发,定金能退吗",预售与定金 + 发货时效,详情页 | 48 小时内发货 | 不支持无理由退定金,否
E14,E_multi,"现在缺货,补货要多久,补发的处理时限是几天",商品缺货 + 处理时限,3 至 7 天内补货 | 缺货补发 | 5 个工作日,否
E15,E_multi,"买完就降价了能退差价吗,几天内有效,差价退到哪",价格保护 + 处理时限,7 天内 | 原支付渠道 | 价格保护,否
E16,E_multi,"金卡到底要花多少钱才能升,升了运费上有什么实惠",会员权益 / 会员等级 + 会员运费权益,5000 元起 | 每月享 3 次免运费,否
E17,E_multi,"我要开公司能抵扣的票,需要准备什么,多久开出来",可开票类型 + 开票时效,电子专票 | 纳税人识别号 | 3 个工作日内开出,否
E18,E_multi,"MH-LP100 和 MH-LP200 我该选哪个,家里两只猫,倒废砂的频率差多少",MH-LP100 + MH-LP200,每 5 至 7 天倾倒一次 | 每 3 至 5 天倾倒 | 2kg 至 12kg,否
E19,E_multi,饮水机 MH-W20 和 MH-W60 的水箱和换滤芯周期分别是多少,MH-W20 + MH-W60,2L | 每 2 周更换一次滤芯 | 6L | 每 4 周更换一次滤芯,否
E20,E_multi,"两款加热垫哪个适合幼猫,尺寸分别多大",MH-HP12 + MH-HP20,幼猫、老年猫 | 40cm × 30cm | 60cm × 45cm,否
E21,E_multi,"喂食器我想能远程看着喂,两款怎么选,粮桶差多少",MH-FD30 + MH-FD10,App 远程手动投喂 | 6L | 4L | 基础版不含摄像头,否
E22,E_multi,"摄像头能存卡吗,断网了还能用吗,需要什么网络",MH-CAM1 + 常见故障,128G TF 卡 | 2.4G Wi-Fi | 2.4G 频段,否
E23,E_multi,"猫爬架要自己装吗,附不附工具,单层能压多重",MH-CT30 + 设备安装,六角扳手 | 单层最大 10kg | 自行组装,否
E24,E_multi,"我要退款,在哪申请,多久到账",如何申请退款 + 退款时效 | 处理时限,申请退款 | 原路退回 | 3 个工作日,否
E25,E_multi,"能用信用卡付吗,能不能线下转账,付款失败怎么办",支付方式 + 人工客服,信用卡 | 暂不支持线下汇款 | 联系客服,否
E26,E_multi,"券和满减能一起用吗,一单最多用几张,会员折扣叠不叠",优惠券 + 会员权益 / 会员等级 | 会员等级与积分规则,自动叠加 | 一张店铺券 | 9 折,否
E27,E_multi,"布艺猫窝能机洗吗,洗坏了算不算质量问题能退吗",猫窝 + 质量问题与保修 | 退货政策,洗衣袋 | 不可机洗 | 保修 12 个月,否
E28,E_multi,"非质量问题的换货和无理由退货,运费的算法一样吗",换货政策 / 换货运费 + 退换货运费承担,非质量问题的换货 | 无理由退货的退回运费由买家承担,否
E29,E_multi,"人为弄坏的能保修吗,超保修了修要收多少",保修说明 + 维修寄修 | 质量问题与保修,人为损坏不在保修范围 | 工本费,否
E30,E_multi,"投诉和退款分别多久有人响应,处理要几天",处理时限 + 人工客服,投诉 | 1 小时 | 3 个工作日 | 9:00 至 22:00,否
E31,E_multi,"我是金卡,退货能上门取件吗,退回运费还要我出吗",会员专属售后权益 + 退换货运费承担,上门取件 | 无理由退货的退回运费由买家承担,否
E32,E_multi,"港澳台能寄吗,偏远地区时效会不会慢",配送范围 + 运费与包邮,港澳台及海外暂不支持 | 时效顺延 | 不参与包邮,否
E33,E_multi,"2000 积分换的滤芯是给哪款饮水机用的,那款多久换一次",积分怎么用 + MH-W40 | MH-W20 | MH-W60,自动饮水机滤芯 3 片 | 更换一次滤芯,否
E34,E_multi,"退货了积分会不会扣回去,等级会掉吗",积分怎么攒 + 会员等级与积分规则 | 会员权益 / 会员等级,同步扣回 | 按累计消费自动升级,否
E35,E_multi,"MH-LP50 便宜在哪,少了什么功能,适合几只猫",MH-LP50 + MH-LP100,不含 App 联网功能 | 适合单猫家庭 | App 远程监控,否
E36,E_multi,"饮水机不出水是怎么回事,水泵能拆下来洗吗",常见故障 + MH-W20,水泵是否卡阻 | 水泵可拆卸,否
E37,E_multi,"MH-W40 有杀菌吗,整机能拆洗吗,多久洗一次",MH-W40 + 常见故障,UV 紫外杀菌 | 整机可拆分水洗 | 建议每周清洗一次,否
E38,E_multi,"定制的东西不满意能退吗,生鲜呢",适用范围 + 不支持退货,定制类、生鲜类商品除外 | 非质量问题不支持退货,否
E39,E_multi,"发票开错了能重开吗,超过 30 天怎么办",开票时效 + 人工客服,超过 30 天需联系客服 | 联系客服,否
E40,E_multi,"我买的猫砂盆断电了配置会丢吗,断电以后要重新配网吗",MH-LP100 + 设备安装,断电后配置自动保存 | 扫码添加设备,否
E41,E_multi,"一单要满多少包邮,不满的话运费多少,偏远地区又是多少",运费怎么算 | 运费与包邮 + 配送范围,满 99 元包邮 | 10 元运费 | 偏远地区,否
E42,E_multi,"换货要寄回去核验多久,处理时限是几天",换货流程 + 处理时限,补发新品 | 换货 | 5 个工作日,否
E43,E_multi,"物流一直不动怎么办,多久有人处理",处理时限 + 人工客服,物流异常 | 5 个工作日 | 联系客服,否
E44,E_multi,"摄像头版喂食器怎么配网,断电了会不会停喂",MH-FD30 + 设备安装,2.4G Wi-Fi | 内置应急电池,否
E45,E_multi,"加热垫能一直插着吗,过热了有保护吗,表面能洗吗",MH-HP12 + MH-HP20,不超过 12 小时 | 过热保护 | 表面绒布可拆洗,否
E46,E_multi,"我要给企业开纸质票,快递费谁付,多久能开出来",可开票类型 + 开票时效,仅企业账户可申请 | 快递费到付 | 3 个工作日内开出,否
E47,E_multi,退款和退货运费的处理时限分别是几天,处理时限 + 退换货运费承担,退款 | 退换货运费 | 3 个工作日,否
E48,E_multi,"猫砂盆 Max 适合多重的猫,供电要求是什么",MH-LP200 + MH-LP100,2kg 至 12kg | 220V 市电,否
E49,E_multi,"下单支付方式有哪些,支付完多久发货",支付方式 + 发货时效,支付宝 | 48 小时内发货,否
E50,E_multi,"会员积分能抵多少,一笔最多抵多少,等级怎么升",积分怎么用 + 会员等级与积分规则,单笔最多抵 30 元 | 按累计消费自动升级,否
E51,E_multi,"MH-W60 缺水会提醒吗,面盘能高温消毒吗,滤芯几周换",MH-W60 + 常见故障,无线水位提醒推送 App | 可高温消毒 | 每 4 周更换一次滤芯,否
E52,E_multi,"发错货了退回来的运费谁出,换新的运费又谁出",退换货运费承担 + 换货政策 / 换货运费,发错货 | 运费由平台承担 | 因质量问题或发错货的换货,否
E53,E_multi,"我想开票又想申请价保,两个各要多久",开票时效 | 发票如何开具 + 价格保护,3 个工作日 | 7 天内价保,否
E54,E_multi,智能猫砂盆 Pro 的除臭和 Lite 的除臭有什么区别,MH-LP100 + MH-LP50,活性炭除臭 | 物理除臭盖板,否
E55,E_multi,"摄像头画质多少,能不能双向说话,存储怎么解决",MH-CAM1 + MH-FD30,2K 分辨率 | 双向语音 | 128G TF 卡,否
E56,E_multi,"退货运费险有吗,没有的话无理由退货运费怎么算",退换货运费承担 + 会员专属售后权益,无理由退货的退回运费由买家承担 | 退换货运费权益 1 次/月,否
E57,E_multi,"喵银和喵金分别要年消费多少,生日礼有什么不一样",会员权益 / 会员等级 + 会员等级与积分规则,1000 元起 | 5000 元起 | 猫罐头礼盒,否
E58,E_multi,"我买的加热垫想退,已经用过一次算不算影响二次销售",适用范围 + 退货政策,不影响二次销售 | 7 天无理由退货,否
E59,E_multi,"换货只能换同款吗,想换型号怎么办,退了重买运费谁付",换货条件 + 退换货运费承担,不同型号或颜色需先退货 | 买家承担,否
E60,E_multi,"客服几点上班,联系不上的时候投诉多久响应",人工客服 + 处理时限,9:00 至 22:00 | 投诉 | 1 小时,否
D1,D_absent,"你们卖不卖活体宠物,能在这买猫吗",,,是
D2,D_absent,"有没有线下实体门店,可以去店里退货吗",,,是
D3,D_absent,发票能不能用外币金额开具,,,是
D4,D_absent,有没有以旧换新的活动,,,是
D5,D_absent,大件商品能不能预约师傅上门安装,,,是
D6,D_absent,退货之后能不能额外补偿我一些积分,,,是
D7,D_absent,发货能不能指定用顺丰快递,,,是
D8,D_absent,"你们招不招加盟商,怎么加盟代理",,,是
D9,D_absent,能不能货到付款,,,是
D10,D_absent,支持数字人民币支付吗,,,是
D11,D_absent,怎么注销我的账号,,,是
D12,D_absent,"能不能便宜点,可以砍价吗",,,是
D13,D_absent,"你们有没有退货运费险,谁来买",,,是
D14,D_absent,能不能额外购买延长保修服务,,,是
D15,D_absent,你们的商品价格含不含关税,,,是
D16,D_absent,能帮我推荐一套幼猫的喂养方案吗,,,是
D17,D_absent,你们卖的猫粮保质期到具体哪一天,,,是
D18,D_absent,"能不能团购批发,量大有没有优惠",,,是
D19,D_absent,你们的价保能跟别的电商平台比价吗,,,是
D20,D_absent,"你们门店招客服吗,应聘流程是啥",,,是
D21,D_absent,"你们有没有小程序商城,微信里能不能下单",,,是
D22,D_absent,企业采购能不能开月结账期,,,是
D23,D_absent,"你们仓库在哪个城市,能不能到仓库自提",,,是
D24,D_absent,"你们跟宠物医院有合作吗,能约疫苗吗",,,是
